ID  method         mode       dataset   model   summarization
1   kelpie         necessary  DB50K     TransE  no
2   kelpie++       necessary  DB50K     TransE  simulation
3   kelpie++       necessary  DB50K     TransE  bisimulation
4   kelpie         sufficient DB50K     TransE  no
5   kelpie++       sufficient DB50K     TransE  simulation 
6   kelpie++       sufficient DB50K     TransE  bisimulation
7   kelpie         necessary  DB100K    TransE  no
8   kelpie++       necessary  DB100K    TransE  simulation
9   kelpie++       necessary  DB100K    TransE  bisimulation
10  kelpie         sufficient DB100K    TransE  no
11  kelpie++       sufficient DB100K    TransE  simulation 
12  kelpie++       sufficient DB100K    TransE  bisimulation 
13  kelpie         necessary  YAGO4-20  TransE  no
14  kelpie++       necessary  YAGO4-20  TransE  simulation
15  kelpie++       necessary  YAGO4-20  TransE  bisimulation
16  kelpie         sufficient YAGO4-20  TransE  no
17  kelpie++       sufficient YAGO4-20  TransE  simulation 
18  kelpie++       sufficient YAGO4-20  TransE  bisimulation 
19  kelpie         necessary  YAGO3-10  TransE  no
20  kelpie         sufficient YAGO3-10  TransE  no
21  kelpie         necessary  FB15k-237 TransE  no
22  kelpie         sufficient FB15k-237 TransE  no
23  kelpie         necessary  WN18RR    TransE  no
24  kelpie         sufficient WN18RR    TransE  no
25  kelpie         necessary  DB50K     ConvE   no
26  kelpie++       necessary  DB50K     ConvE   simulation
27  kelpie++       necessary  DB50K     ConvE   bisimulation
28  kelpie         sufficient DB50K     ConvE   no
29  kelpie++       sufficient DB50K     ConvE   simulation 
30  kelpie++       sufficient DB50K     ConvE   bisimulation 
31  kelpie         necessary  DB100K    ConvE   no
32  kelpie++       necessary  DB100K    ConvE   simulation
33  kelpie++       necessary  DB100K    ConvE   bisimulation
34  kelpie         sufficient DB100K    ConvE   no
35  kelpie++       sufficient DB100K    ConvE   simulation 
36  kelpie++       sufficient DB100K    ConvE   bisimulation 
37  kelpie         necessary  YAGO4-20  ConvE   no
38  kelpie++       necessary  YAGO4-20  ConvE   simulation
39  kelpie++       necessary  YAGO4-20  ConvE   bisimulation
40  kelpie         sufficient YAGO4-20  ConvE   no
41  kelpie++       sufficient YAGO4-20  ConvE   simulation 
42  kelpie++       sufficient YAGO4-20  ConvE   bisimulation
43  kelpie         necessary  YAGO3-10  ConvE   no
44  kelpie         sufficient YAGO3-10  ConvE   no
45  kelpie         necessary  FB15k-237 ConvE   no
46  kelpie         sufficient FB15k-237 ConvE   no
47  kelpie         necessary  WN18RR    ConvE   no
48  kelpie         sufficient WN18RR    ConvE   no
49  kelpie         necessary  DB50K     ComplEx no
50  kelpie++       necessary  DB50K     ComplEx simulation
51  kelpie++       necessary  DB50K     ComplEx bisimulation
52  kelpie         sufficient DB50K     ComplEx no
53  kelpie++       sufficient DB50K     ComplEx simulation 
54  kelpie++       sufficient DB50K     ComplEx bisimulation 
55  kelpie         necessary  DB100K    ComplEx no
56  kelpie++       necessary  DB100K    ComplEx simulation
57  kelpie++       necessary  DB100K    ComplEx bisimulation
58  kelpie         sufficient DB100K    ComplEx no
59  kelpie++       sufficient DB100K    ComplEx simulation 
60  kelpie++       sufficient DB100K    ComplEx bisimulation 
61  kelpie         necessary  YAGO4-20  ComplEx no
62  kelpie++       necessary  YAGO4-20  ComplEx simulation
63  kelpie++       necessary  YAGO4-20  ComplEx bisimulation
64  kelpie         sufficient YAGO4-20  ComplEx no
65  kelpie++       sufficient YAGO4-20  ComplEx simulation 
66  kelpie++       sufficient YAGO4-20  ComplEx bisimulation
67  kelpie         necessary  YAGO3-10  ComplEx no
68  kelpie         sufficient YAGO3-10  ComplEx no
69  kelpie         necessary  FB15k-237 ComplEx no
70  kelpie         sufficient FB15k-237 ComplEx no
71  kelpie         necessary  WN18RR    ComplEx no
72  kelpie         sufficient WN18RR    ComplEx no
73  criage         necessary  DB50K     ConvE   no
74  criage         sufficient DB50K     ConvE   no
75  criage         necessary  DB50K     ComplEx no
76  criage         sufficient DB50K     ComplEx no
77  criage         necessary  DB100K    ConvE   no
78  criage         sufficient DB100K    ConvE   no
79  criage         necessary  DB100K    ComplEx no
80  criage         sufficient DB100K    ComplEx no
81  criage         necessary  YAGO4-20  ConvE   no
82  criage         sufficient YAGO4-20  ConvE   no
83  criage         necessary  YAGO4-20  ComplEx no
84  criage         sufficient YAGO4-20  ComplEx no
85  criage         necessary  FB15k-237 ConvE   no
86  criage         sufficient FB15k-237 ConvE   no
87  criage         necessary  FB15k-237 ComplEx no
88  criage         sufficient FB15k-237 ComplEx no
89  criage         necessary  WN18RR    ConvE   no
90  criage         sufficient WN18RR    ConvE   no
91  criage         necessary  WN18RR    ComplEx no
92  criage         sufficient WN18RR    ComplEx no
93  criage         necessary  YAGO3-10  ConvE   no
94  criage         sufficient YAGO3-10  ConvE   no
95  criage         necessary  YAGO3-10  ComplEx no
96  criage         sufficient YAGO3-10  ComplEx no
97  data_poisoning necessary  DB50K     TransE  no
98  data_poisoning sufficient DB50K     TransE  no
99  data_poisoning necessary  DB50K     ConvE   no
100 data_poisoning sufficient DB50K     ConvE   no
101 data_poisoning necessary  DB50K     ComplEx no
102 data_poisoning sufficient DB50K     ComplEx no
103 data_poisoning necessary  DB100K    TransE  no
104 data_poisoning sufficient DB100K    TransE  no
105 data_poisoning necessary  DB100K    ConvE   no
106 data_poisoning sufficient DB100K    ConvE   no
