ID method mode dataset model summarization include_ranking include_examples parameters llm
1 criage necessary DB50K ConvE None 0 0 22 Mixtral
2 criage necessary DB50K ConvE None 0 1 22 Mixtral
3 criage necessary DB50K ConvE None 1 0 22 Mixtral
4 criage necessary DB50K ConvE None 1 1 22 Mixtral
5 criage necessary DB50K ComplEx None 0 0 22 Mixtral
6 criage necessary DB50K ComplEx None 0 1 22 Mixtral
7 criage necessary DB50K ComplEx None 1 0 22 Mixtral
8 criage necessary DB50K ComplEx None 1 1 22 Mixtral
9 criage necessary DB100K ConvE None 0 0 22 Mixtral
10 criage necessary DB100K ConvE None 0 1 22 Mixtral
11 criage necessary DB100K ConvE None 1 0 22 Mixtral
12 criage necessary DB100K ConvE None 1 1 22 Mixtral
13 criage necessary DB100K ComplEx None 0 0 22 Mixtral
14 criage necessary DB100K ComplEx None 0 1 22 Mixtral
15 criage necessary DB100K ComplEx None 1 0 22 Mixtral
16 criage necessary DB100K ComplEx None 1 1 22 Mixtral
17 criage necessary YAGO4-20 ConvE None 0 0 22 Mixtral
18 criage necessary YAGO4-20 ConvE None 0 1 22 Mixtral
19 criage necessary YAGO4-20 ConvE None 1 0 22 Mixtral
20 criage necessary YAGO4-20 ConvE None 1 1 22 Mixtral
21 criage necessary YAGO4-20 ComplEx None 0 0 22 Mixtral
22 criage necessary YAGO4-20 ComplEx None 0 1 22 Mixtral
23 criage necessary YAGO4-20 ComplEx None 1 0 22 Mixtral
24 criage necessary YAGO4-20 ComplEx None 1 1 22 Mixtral
25 criage necessary FB15k-237 ConvE None 0 0 22 Mixtral
26 criage necessary FB15k-237 ConvE None 0 1 22 Mixtral
27 criage necessary FB15k-237 ConvE None 1 0 22 Mixtral
28 criage necessary FB15k-237 ConvE None 1 1 22 Mixtral
29 criage necessary FB15k-237 ComplEx None 0 0 22 Mixtral
30 criage necessary FB15k-237 ComplEx None 0 1 22 Mixtral
31 criage necessary FB15k-237 ComplEx None 1 0 22 Mixtral
32 criage necessary FB15k-237 ComplEx None 1 1 22 Mixtral
33 criage necessary WN18RR ConvE None 0 0 22 Mixtral
34 criage necessary WN18RR ConvE None 0 1 22 Mixtral
35 criage necessary WN18RR ConvE None 1 0 22 Mixtral
36 criage necessary WN18RR ConvE None 1 1 22 Mixtral
37 criage necessary WN18RR ComplEx None 0 0 22 Mixtral
38 criage necessary WN18RR ComplEx None 0 1 22 Mixtral
39 criage necessary WN18RR ComplEx None 1 0 22 Mixtral
40 criage necessary WN18RR ComplEx None 1 1 22 Mixtral
41 criage necessary YAGO3-10 ConvE None 0 0 22 Mixtral
42 criage necessary YAGO3-10 ConvE None 0 1 22 Mixtral
43 criage necessary YAGO3-10 ConvE None 1 0 22 Mixtral
44 criage necessary YAGO3-10 ConvE None 1 1 22 Mixtral
45 criage necessary YAGO3-10 ComplEx None 0 0 22 Mixtral
46 criage necessary YAGO3-10 ComplEx None 0 1 22 Mixtral
47 criage necessary YAGO3-10 ComplEx None 1 0 22 Mixtral
48 criage necessary YAGO3-10 ComplEx None 1 1 22 Mixtral
49 criage sufficient DB50K ConvE None 0 0 22 Mixtral
50 criage sufficient DB50K ConvE None 0 1 22 Mixtral
51 criage sufficient DB50K ConvE None 1 0 22 Mixtral
52 criage sufficient DB50K ConvE None 1 1 22 Mixtral
53 criage sufficient DB50K ComplEx None 0 0 22 Mixtral
54 criage sufficient DB50K ComplEx None 0 1 22 Mixtral
55 criage sufficient DB50K ComplEx None 1 0 22 Mixtral
56 criage sufficient DB50K ComplEx None 1 1 22 Mixtral
57 criage sufficient DB100K ConvE None 0 0 22 Mixtral
58 criage sufficient DB100K ConvE None 0 1 22 Mixtral
59 criage sufficient DB100K ConvE None 1 0 22 Mixtral
60 criage sufficient DB100K ConvE None 1 1 22 Mixtral
61 criage sufficient DB100K ComplEx None 0 0 22 Mixtral
62 criage sufficient DB100K ComplEx None 0 1 22 Mixtral
63 criage sufficient DB100K ComplEx None 1 0 22 Mixtral
64 criage sufficient DB100K ComplEx None 1 1 22 Mixtral
65 criage sufficient YAGO4-20 ConvE None 0 0 22 Mixtral
66 criage sufficient YAGO4-20 ConvE None 0 1 22 Mixtral
67 criage sufficient YAGO4-20 ConvE None 1 0 22 Mixtral
68 criage sufficient YAGO4-20 ConvE None 1 1 22 Mixtral
69 criage sufficient YAGO4-20 ComplEx None 0 0 22 Mixtral
70 criage sufficient YAGO4-20 ComplEx None 0 1 22 Mixtral
71 criage sufficient YAGO4-20 ComplEx None 1 0 22 Mixtral
72 criage sufficient YAGO4-20 ComplEx None 1 1 22 Mixtral
73 criage sufficient FB15k-237 ConvE None 0 0 22 Mixtral
74 criage sufficient FB15k-237 ConvE None 0 1 22 Mixtral
75 criage sufficient FB15k-237 ConvE None 1 0 22 Mixtral
76 criage sufficient FB15k-237 ConvE None 1 1 22 Mixtral
77 criage sufficient FB15k-237 ComplEx None 0 0 22 Mixtral
78 criage sufficient FB15k-237 ComplEx None 0 1 22 Mixtral
79 criage sufficient FB15k-237 ComplEx None 1 0 22 Mixtral
80 criage sufficient FB15k-237 ComplEx None 1 1 22 Mixtral
81 criage sufficient WN18RR ConvE None 0 0 22 Mixtral
82 criage sufficient WN18RR ConvE None 0 1 22 Mixtral
83 criage sufficient WN18RR ConvE None 1 0 22 Mixtral
84 criage sufficient WN18RR ConvE None 1 1 22 Mixtral
85 criage sufficient WN18RR ComplEx None 0 0 22 Mixtral
86 criage sufficient WN18RR ComplEx None 0 1 22 Mixtral
87 criage sufficient WN18RR ComplEx None 1 0 22 Mixtral
88 criage sufficient WN18RR ComplEx None 1 1 22 Mixtral
89 criage sufficient YAGO3-10 ConvE None 0 0 22 Mixtral
90 criage sufficient YAGO3-10 ConvE None 0 1 22 Mixtral
91 criage sufficient YAGO3-10 ConvE None 1 0 22 Mixtral
92 criage sufficient YAGO3-10 ConvE None 1 1 22 Mixtral
93 criage sufficient YAGO3-10 ComplEx None 0 0 22 Mixtral
94 criage sufficient YAGO3-10 ComplEx None 0 1 22 Mixtral
95 criage sufficient YAGO3-10 ComplEx None 1 0 22 Mixtral
96 criage sufficient YAGO3-10 ComplEx None 1 1 22 Mixtral
97 data-poisoning necessary DB50K ConvE None 0 0 22 Mixtral
98 data-poisoning necessary DB50K ConvE None 0 1 22 Mixtral
99 data-poisoning necessary DB50K ConvE None 1 0 22 Mixtral
100 data-poisoning necessary DB50K ConvE None 1 1 22 Mixtral
